Training with only sequence
Train Epoch: 58 [100%] || Time: 0 min 3 || Loss: 0.747 || Reg: 0.000 || Acc: 0.228
Train Epoch: 59 [100%] || Time: 0 min 3 || Loss: 0.738 || Reg: 0.000 || Acc: 0.223
Train Epoch: 60 [100%] || Time: 0 min 3 || Loss: 0.727 || Reg: 0.000 || Acc: 0.219
Train Epoch: 60 [100%] || Time: 0 min 3 || Loss: 0.727 || Reg: 0.000 || Acc: 0.219
Val Epoch: 60 [100%] || Time: 0 min 0 || Loss: 0.729 || Reg: 0.000 || Acc: 0.220
Train Epoch: 61 [100%] || Time: 0 min 3 || Loss: 0.725 || Reg: 0.000 || Acc: 0.216
Train Epoch: 62 [100%] || Time: 0 min 3 || Loss: 0.719 || Reg: 0.000 || Acc: 0.210
Train Epoch: 63 [100%] || Time: 0 min 3 || Loss: 0.710 || Reg: 0.000 || Acc: 0.207
Train Epoch: 64 [100%] || Time: 0 min 3 || Loss: 0.709 || Reg: 0.000 || Acc: 0.203
Train Epoch: 65 [100%] || Time: 0 min 3 || Loss: 0.702 || Reg: 0.000 || Acc: 0.199
Train Epoch: 66 [100%] || Time: 0 min 3 || Loss: 0.698 || Reg: 0.000 || Acc: 0.196
Train Epoch: 67 [100%] || Time: 0 min 3 || Loss: 0.699 || Reg: 0.000 || Acc: 0.192
Train Epoch: 68 [100%] || Time: 0 min 3 || Loss: 0.689 || Reg: 0.000 || Acc: 0.187
Train Epoch: 69 [100%] || Time: 0 min 3 || Loss: 0.687 || Reg: 0.000 || Acc: 0.184
Train Epoch: 70 [100%] || Time: 0 min 3 || Loss: 0.684 || Reg: 0.000 || Acc: 0.181
Train Epoch: 71 [100%] || Time: 0 min 3 || Loss: 0.682 || Reg: 0.000 || Acc: 0.177
Train Epoch: 72 [100%] || Time: 0 min 3 || Loss: 0.680 || Reg: 0.000 || Acc: 0.174
Train Epoch: 73 [100%] || Time: 0 min 3 || Loss: 0.677 || Reg: 0.000 || Acc: 0.171
Train Epoch: 74 [100%] || Time: 0 min 3 || Loss: 0.678 || Reg: 0.000 || Acc: 0.169
Train Epoch: 75 [100%] || Time: 0 min 3 || Loss: 0.677 || Reg: 0.000 || Acc: 0.167
Train Epoch: 76 [100%] || Time: 0 min 3 || Loss: 0.672 || Reg: 0.000 || Acc: 0.163
Train Epoch: 77 [100%] || Time: 0 min 3 || Loss: 0.674 || Reg: 0.000 || Acc: 0.160
Train Epoch: 78 [100%] || Time: 0 min 3 || Loss: 1.237 || Reg: 0.000 || Acc: 0.274
Train Epoch: 79 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.679
Train Epoch: 80 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.695
Train Epoch: 81 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.715
Train Epoch: 82 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.721
Train Epoch: 83 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.729
Train Epoch: 84 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.735
Train Epoch: 85 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.738
Train Epoch: 86 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.741
Train Epoch: 87 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.744
Train Epoch: 88 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.747
Train Epoch: 89 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.750
Train Epoch: 90 [100%] || Time: 0 min 3 || Loss: 3.226 || Reg: 0.000 || Acc: 0.751
